TFAP2A	Yes	Known motif				
TFAP2B	Yes	Known motif				
TFAP2C	Yes	Known motif				
TFAP2D	Yes	Known motif				
TFAP2E	Yes	Known motif				
ARID1A	No	Unlikely to be sequence specific TF				
ARID1B	No	Unlikely to be sequence specific TF				
ARID3A	Yes	Known motif				
ARID3B	Yes	Inferred motif				
ARID3C	Yes	Inferred motif				
ARID4A	No	Unlikely to be sequence specific TF				
ARID4B	No	Unlikely to be sequence specific TF				
ARID5A	Yes	Known motif				
ARID5B	Yes	Known motif				
JARID2	No	Unlikely to be sequence specific TF				
KDM5A	No	Unlikely to be sequence specific TF				
KDM5B	Yes	Likely to be sequence specific TF				
KDM5C	No	Unlikely to be sequence specific TF				
KDM5D	No	Unlikely to be sequence specific TF				
ARID2	Yes	Likely to be sequence specific TF				
AHCTF1	Yes	Likely to be sequence specific TF				
AHDC1	Yes	Likely to be sequence specific TF				
AKNA	Yes	Likely to be sequence specific TF				
ASH1L	Yes	Likely to be sequence specific TF				
CBX2	Yes	Likely to be sequence specific TF				
DNTTIP1	Yes	Likely to be sequence specific TF				
DOT1L	Yes	Likely to be sequence specific TF				
GLYR1	Yes	Likely to be sequence specific TF				
HMGA1	Yes	Known motif				
HMGA2	Yes	Known motif				
PHF20	Yes	Likely to be sequence specific TF				
PHF21A	Yes	Likely to be sequence specific TF				
PRR12	Yes	Likely to be sequence specific TF				
SCML4	Yes	Likely to be sequence specific TF				
SETBP1	Yes	Likely to be sequence specific TF				
SRCAP	Yes	Likely to be sequence specific TF				
C11orf95	Yes	Likely to be sequence specific TF				
FAM200B	Yes	Likely to be sequence specific TF				
SGSM2	Yes	Likely to be sequence specific TF				
ZBED1	Yes	Known motif				
ZBED2	Yes	Likely to be sequence specific TF				
ZBED3	Yes	Likely to be sequence specific TF				
ZBED4	Yes	Likely to be sequence specific TF				
ZBED5	Yes	Likely to be sequence specific TF				
ZBED6	Yes	Inferred motif				
ZBED8	No	Unlikely to be sequence specific TF				
ZBED9	Yes	Likely to be sequence specific TF				
AHR	Yes	Known motif				
AHRR	Yes	Inferred motif				
ARNT	Yes	Known motif				
ARNT2	Yes	Known motif				
ARNTL	Yes	Known motif				
ARNTL2	Yes	Inferred motif				
ASCL1	Yes	Known motif				
ASCL2	Yes	Known motif				
ASCL3	Yes	Inferred motif				
ASCL4	Yes	Inferred motif				
ASCL5	Yes	Inferred motif				
ATOH1	Yes	Known motif				
ATOH7	Yes	Known motif				
ATOH8	Yes	Inferred motif				
BHLHA15	Yes	Known motif				
BHLHA9	Yes	Likely to be sequence specific TF				
BHLHE22	Yes	Known motif				
BHLHE23	Yes	Known motif				
BHLHE40	Yes	Known motif				
BHLHE41	Yes	Known motif				
CCDC169-SOHLH2	Yes	Known motif				
CLOCK	Yes	Known motif				
EPAS1	Yes	Known motif				
FERD3L	Yes	Known motif				
FIGLA	Yes	Known motif				
HAND1	Yes	Known motif				
HAND2	Yes	Known motif				
HELT	Yes	Inferred motif				
HES1	Yes	Known motif				
